Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61293106,0.4,d,1497541010.93,2017/06/15 15:36:50,2017/06/15 08:36:50 PDT,"4.6 km from Bremerton, WA",47.5703,-122.5693,23.9,14.8
61293091,1.1,l,1497522476.03,2017/06/15 10:27:56,2017/06/15 03:27:56 PDT,"5.4 km from Bremerton, WA",47.5927,-122.5688,21.2,13.2
61292266,1.9,l,1497287013.89,2017/06/12 17:03:33,2017/06/12 10:03:33 PDT,"5.4 km from Bremerton, WA",47.5962,-122.5735,22.9,14.2
61292136,2.0,l,1497207184.94,2017/06/11 18:53:04,2017/06/11 11:53:04 PDT,"3.4 km from Bremerton, WA",47.5875,-122.5972,24.8,15.4
61292126,1.4,l,1497195945.74,2017/06/11 15:45:45,2017/06/11 08:45:45 PDT,"5.7 km from Bremerton, WA",47.5965,-122.5680,21.0,13.0
61291726,0.8,l,1497062787.8,2017/06/10 02:46:27,2017/06/09 19:46:27 PDT,"2.4 km from Bremerton, WA",47.5468,-122.6430,21.8,13.5
61272022,1.3,l,1496304869.01,2017/06/01 08:14:29,2017/06/01 01:14:29 PDT,"2.0 km from Bremerton, WA",47.582,-122.6168,26.4,16.4
61271722,1.5,l,1496246149.98,2017/05/31 15:55:49,2017/05/31 08:55:49 PDT,"1.5 km from Bremerton, WA",47.5645,-122.6098,27.0,16.7
61271642,1.1,l,1496232373.38,2017/05/31 12:06:13,2017/05/31 05:06:13 PDT,"1.6 km from Bremerton, WA",47.5802,-122.6223,26.0,16.1
61271632,1.6,l,1496225944.03,2017/05/31 10:19:04,2017/05/31 03:19:04 PDT,"2.8 km from Bremerton, WA",47.5827,-122.6017,25.7,15.9
61288401,1.5,l,1496033756.85,2017/05/29 04:55:56,2017/05/28 21:55:56 PDT,"2.1 km from Bremerton, WA",47.5818,-122.6135,26.3,16.3
61287396,1.8,l,1495841709.66,2017/05/26 23:35:09,2017/05/26 16:35:09 PDT,"2.9 km from Bremerton, WA",47.5878,-122.6065,25.7,16.0
61269242,0.8,l,1495702091.7,2017/05/25 08:48:11,2017/05/25 01:48:11 PDT,"1.8 km from Bremerton, WA",47.5777,-122.6475,24.2,15.0
61268552,1.4,l,1495527959.24,2017/05/23 08:25:59,2017/05/23 01:25:59 PDT,"3.0 km from Bremerton, WA",47.586,-122.6013,25.2,15.6
61268342,1.2,l,1495402944.64,2017/05/21 21:42:24,2017/05/21 14:42:24 PDT,"5.7 km from Bremerton, WA",47.6003,-122.5728,21.6,13.4
61268332,1.8,l,1495401033.86,2017/05/21 21:10:33,2017/05/21 14:10:33 PDT,"3.3 km from Bremerton, WA",47.577,-122.5892,24.8,15.4
61268327,2.8,l,1495399431.28,2017/05/21 20:43:51,2017/05/21 13:43:51 PDT,"4.0 km from Bremerton, WA",47.5815,-122.5818,24.0,14.9
61268242,1.6,l,1495369972.89,2017/05/21 12:32:52,2017/05/21 05:32:52 PDT,"3.2 km from Bremerton, WA",47.5795,-122.5920,24.8,15.4
61268237,0.9,l,1495364091.44,2017/05/21 10:54:51,2017/05/21 03:54:51 PDT,"3.0 km from Bremerton, WA",47.5847,-122.6008,25.5,15.8
61268212,2.0,l,1495345949.45,2017/05/21 05:52:29,2017/05/20 22:52:29 PDT,"3.3 km from Bremerton, WA",47.5782,-122.5897,24.4,15.1
61268167,1.7,l,1495329144.93,2017/05/21 01:12:24,2017/05/20 18:12:24 PDT,"4.3 km from Bremerton, WA",47.5767,-122.5750,25.0,15.5
61267857,1.6,l,1495243311.3,2017/05/20 01:21:51,2017/05/19 18:21:51 PDT,"3.7 km from Bremerton, WA",47.5895,-122.5950,25.8,16.0
61267822,0.6,d,1495225992.36,2017/05/19 20:33:12,2017/05/19 13:33:12 PDT,"10.8 km from Bremerton, WA",47.6,-122.4957,18.6,11.6
61267797,1.2,l,1495220283.22,2017/05/19 18:58:03,2017/05/19 11:58:03 PDT,"9.6 km from Bremerton, WA",47.5943,-122.5090,18.4,11.4
61267492,1.1,l,1495131434.54,2017/05/18 18:17:14,2017/05/18 11:17:14 PDT,"6.9 km from Bremerton, WA",47.5947,-122.5478,20.2,12.5
61267487,2.5,l,1495131332.56,2017/05/18 18:15:32,2017/05/18 11:15:32 PDT,"4.3 km from Bremerton, WA",47.5932,-122.5892,25.1,15.6
61267482,2.2,l,1495131092.45,2017/05/18 18:11:32,2017/05/18 11:11:32 PDT,"3.9 km from Bremerton, WA",47.5855,-122.5868,24.0,14.9
61267432,0.9,l,1495103486.77,2017/05/18 10:31:26,2017/05/18 03:31:26 PDT,"3.4 km from Bremerton, WA",47.593,-122.6068,27.0,16.7
61267417,1.1,l,1495098831.46,2017/05/18 09:13:51,2017/05/18 02:13:51 PDT,"2.5 km from Bremerton, WA",47.5818,-122.6055,25.7,15.9
61267407,0.8,l,1495092402.54,2017/05/18 07:26:42,2017/05/18 00:26:42 PDT,"2.1 km from Bremerton, WA",47.5805,-122.6488,24.9,15.5
61266812,0.9,l,1494910504.67,2017/05/16 04:55:04,2017/05/15 21:55:04 PDT,"10.2 km from Bremerton, WA",47.6123,-122.5117,15.1,9.3
61266797,1.7,l,1494897268.85,2017/05/16 01:14:28,2017/05/15 18:14:28 PDT,"2.8 km from Bremerton, WA",47.5805,-122.5997,25.8,16.0
61266747,1.2,l,1494888568.86,2017/05/15 22:49:28,2017/05/15 15:49:28 PDT,"1.8 km from Bremerton, WA",47.5805,-122.6418,24.9,15.5
61266627,0.3,d,1494872953.93,2017/05/15 18:29:13,2017/05/15 11:29:13 PDT,"4.8 km from Bremerton, WA",47.5473,-122.5727,22.4,13.9
61266552,0.3,d,1494850781.57,2017/05/15 12:19:41,2017/05/15 05:19:41 PDT,"2.1 km from Bremerton, WA",47.548,-122.6325,25.2,15.6
61266282,1.0,l,1494743598.44,2017/05/14 06:33:18,2017/05/13 23:33:18 PDT,"9.3 km from Bremerton, WA",47.615,-122.5290,15.1,9.3
60135108,0.4,d,1494685439.65,2017/05/13 14:23:59,2017/05/13 07:23:59 PDT,"11.4 km from Bremerton, WA",47.6298,-122.5113,15.9,9.9
61282626,1.3,l,1494685400.5,2017/05/13 14:23:20,2017/05/13 07:23:20 PDT,"1.8 km from Bremerton, WA",47.5777,-122.6117,23.9,14.8
61265372,1.0,l,1494554576.86,2017/05/12 02:02:56,2017/05/11 19:02:56 PDT,"7.9 km from Bremerton, WA",47.607,-122.5435,18.3,11.3
60134908,1.6,l,1494540313.4,2017/05/11 22:05:13,2017/05/11 15:05:13 PDT,"7.4 km from Bremerton, WA",47.6047,-122.5487,18.7,11.6
61265312,1.5,l,1494540292.42,2017/05/11 22:04:52,2017/05/11 15:04:52 PDT,"9.6 km from Bremerton, WA",47.6202,-122.5305,17.4,10.8
61265307,1.1,l,1494540168.28,2017/05/11 22:02:48,2017/05/11 15:02:48 PDT,"5.6 km from Bremerton, WA",47.5557,-122.5568,21.1,13.1
61265172,0.3,d,1494511065.72,2017/05/11 13:57:45,2017/05/11 06:57:45 PDT,"8.8 km from Bremerton, WA",47.5923,-122.5200,11.3,7.0
61265092,1.3,l,1494498438.97,2017/05/11 10:27:18,2017/05/11 03:27:18 PDT,"5.9 km from Bremerton, WA",47.594,-122.5627,21.3,13.2
61265082,2.6,l,1494495396.72,2017/05/11 09:36:36,2017/05/11 02:36:36 PDT,"5.5 km from Bremerton, WA",47.5897,-122.5647,21.6,13.4
61265077,1.1,l,1494494860.42,2017/05/11 09:27:40,2017/05/11 02:27:40 PDT,"6.7 km from Bremerton, WA",47.6,-122.5552,21.8,13.5
61265072,2.1,l,1494494349.85,2017/05/11 09:19:09,2017/05/11 02:19:09 PDT,"5.1 km from Bremerton, WA",47.5958,-122.5778,21.6,13.4
61265067,0.8,l,1494493483.8,2017/05/11 09:04:43,2017/05/11 02:04:43 PDT,"3.8 km from Bremerton, WA",47.5907,-122.5940,21.8,13.5
61265062,1.1,l,1494493256.07,2017/05/11 09:00:56,2017/05/11 02:00:56 PDT,"7.7 km from Bremerton, WA",47.6083,-122.5477,18.8,11.6
61265047,1.5,l,1494491877.51,2017/05/11 08:37:57,2017/05/11 01:37:57 PDT,"5.3 km from Bremerton, WA",47.5952,-122.5733,21.2,13.2
61265037,1.3,l,1494490777.4,2017/05/11 08:19:37,2017/05/11 01:19:37 PDT,"5.9 km from Bremerton, WA",47.598,-122.5662,20.0,12.4
60134708,0.3,d,1494488473.2,2017/05/11 07:41:13,2017/05/11 00:41:13 PDT,"7.3 km from Bremerton, WA",47.5668,-122.5332,19.6,12.2
61265022,1.0,l,1494488444.13,2017/05/11 07:40:44,2017/05/11 00:40:44 PDT,"9.6 km from Bremerton, WA",47.6168,-122.5262,16.3,10.1
61265017,3.5,l,1494488124.72,2017/05/11 07:35:24,2017/05/11 00:35:24 PDT,"4.2 km from Bremerton, WA",47.5887,-122.5842,24.1,14.9
61264922,1.5,l,1494469877.91,2017/05/11 02:31:17,2017/05/10 19:31:17 PDT,"5.4 km from Bremerton, WA",47.5963,-122.5733,23.3,14.5
61264912,0.3,d,1494467373.96,2017/05/11 01:49:33,2017/05/10 18:49:33 PDT,"7.9 km from Bremerton, WA",47.6067,-122.5437,18.2,11.3
61264902,1.0,l,1494463263.7,2017/05/11 00:41:03,2017/05/10 17:41:03 PDT,"7.2 km from Bremerton, WA",47.5977,-122.5462,19.1,11.8
61264852,1.6,l,1494456456.17,2017/05/10 22:47:36,2017/05/10 15:47:36 PDT,"6.2 km from Bremerton, WA",47.5957,-122.5590,19.5,12.1
61264842,1.9,l,1494451676.05,2017/05/10 21:27:56,2017/05/10 14:27:56 PDT,"5.8 km from Bremerton, WA",47.5977,-122.5677,21.3,13.2
61264712,1.2,l,1494428290.02,2017/05/10 14:58:10,2017/05/10 07:58:10 PDT,"7.8 km from Bremerton, WA",47.594,-122.5343,19.5,12.1
61264702,1.0,l,1494424238.86,2017/05/10 13:50:38,2017/05/10 06:50:38 PDT,"8.4 km from Bremerton, WA",47.6035,-122.5328,18.5,11.5
61264697,1.0,l,1494423654.68,2017/05/10 13:40:54,2017/05/10 06:40:54 PDT,"6.4 km from Bremerton, WA",47.5957,-122.5563,20.8,12.9
61264682,1.5,l,1494418430.93,2017/05/10 12:13:50,2017/05/10 05:13:50 PDT,"4.5 km from Bremerton, WA",47.582,-122.5747,19.8,12.3
61264667,2.2,l,1494415134.14,2017/05/10 11:18:54,2017/05/10 04:18:54 PDT,"3.0 km from Bremerton, WA",47.583,-122.5987,24.8,15.3
